City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
74,Cascais,38.7,-9.42,75.2,22,0,3.36,PT,2020-02-23 15:38:32,clear sky,0.0,0.0
75,Arraial Do Cabo,-22.97,-42.03,80.6,65,75,9.17,BR,2020-02-23 15:35:50,broken clouds,0.0,0.0
76,Yanam,16.73,82.22,82.4,65,20,6.93,IN,2020-02-23 15:38:33,haze,0.0,0.0
77,Bahia Blanca,-38.72,-62.27,80.74,22,0,20.11,AR,2020-02-23 15:35:18,clear sky,0.0,0.0
78,Hithadhoo,-0.6,73.08,82.9,80,100,10.92,MV,2020-02-23 15:38:34,light rain,0.38,0.0
79,Chara,56.91,118.26,3.81,71,100,3.53,RU,2020-02-23 15:38:34,overcast clouds,0.0,0.0
80,Alugan,12.22,125.48,78.82,85,0,14.09,PH,2020-02-23 15:38:34,light rain,2.25,0.0
81,Florianopolis,-27.61,-48.5,79.0,65,20,11.41,BR,2020-02-23 15:38:35,few clouds,0.0,0.0
82,Lazi,48.07,24.23,34.39,96,100,4.94,UA,2020-02-23 15:38:35,light rain,0.31,0.0
83,Moose Factory,51.26,-80.61,8.6,92,40,10.29,CA,2020-02-23 15:38:35,scattered clouds,0.0,0.0
84,Port Augusta,-32.5,137.77,75.0,68,100,11.41,AU,2020-02-23 15:38:35,overcast clouds,0.0,0.0
85,Khatanga,71.97,102.5,13.05,93,100,14.03,RU,2020-02-23 15:38:36,light snow,0.0,0.5
86,Sitka,57.05,-135.33,35.6,100,90,9.28,US,2020-02-23 15:38:36,moderate rain,0.0,0.0
87,Manica,49.0,-1.17,55.4,93,90,24.16,FR,2020-02-23 15:38:36,overcast clouds,0.0,0.0
88,Goundam,16.41,-3.67,100.15,6,42,16.62,ML,2020-02-23 15:38:36,scattered clouds,0.0,0.0
89,Kyra,49.58,111.98,7.59,80,83,6.69,RU,2020-02-23 15:38:37,broken clouds,0.0,0.0
90,Gat,31.61,34.76,60.8,67,20,10.29,IL,2020-02-23 15:36:03,few clouds,0.0,0.0
91,Urcos,-13.69,-71.62,60.8,51,75,2.24,PE,2020-02-23 15:38:37,broken clouds,0.0,0.0
92,Lebu,-37.62,-73.65,68.83,59,2,7.16,CL,2020-02-23 15:38:37,clear sky,0.0,0.0
93,Tiksi,71.69,128.87,-11.78,88,100,6.89,RU,2020-02-23 15:38:37,overcast clouds,0.0,0.0
94,Bad Aibling,47.86,12.01,61.0,54,100,27.51,DE,2020-02-23 15:36:26,overcast clouds,0.0,0.0
95,Lincoln,40.8,-96.67,42.01,80,1,5.82,US,2020-02-23 15:38:30,clear sky,0.0,0.0
96,Buchanan,5.88,-10.05,90.57,58,100,8.95,LR,2020-02-23 15:38:38,light rain,0.94,0.0
97,Bengkulu,-3.8,102.27,76.06,90,20,3.51,ID,2020-02-23 15:38:38,few clouds,0.0,0.0
98,Puerto Carreno,6.19,-67.49,89.6,52,99,6.93,CO,2020-02-23 15:38:38,overcast clouds,0.0,0.0
99,Pecos,31.42,-103.49,48.99,76,90,4.7,US,2020-02-23 15:38:39,overcast clouds,0.0,0.0
100,Cockburn Town,21.46,-71.14,74.26,76,26,24.07,TC,2020-02-23 15:38:39,light rain,0.19,0.0
101,Hasaki,35.73,140.83,43.0,41,20,10.29,JP,2020-02-23 15:38:39,few clouds,0.0,0.0
102,Inuvik,68.35,-133.72,-4.0,76,90,3.36,CA,2020-02-23 15:38:39,light snow,0.0,0.0
103,Teya,60.38,92.63,12.11,94,79,3.53,RU,2020-02-23 15:38:40,broken clouds,0.0,0.0
104,Ust-Nera,64.57,143.2,-33.59,100,100,1.32,RU,2020-02-23 15:38:40,overcast clouds,0.0,0.0
105,Boma,7.08,-2.17,103.66,18,67,5.68,GH,2020-02-23 15:38:40,broken clouds,0.0,0.0
106,Mahebourg,-20.41,57.7,80.6,83,75,6.35,MU,2020-02-23 15:38:40,shower rain,0.0,0.0
107,Tuktoyaktuk,69.45,-133.04,-5.8,76,90,12.75,CA,2020-02-23 15:38:41,light snow,0.0,0.0
108,Nizwa,22.93,57.53,77.83,35,0,9.1,OM,2020-02-23 15:38:41,clear sky,0.0,0.0
109,Santa Isabel Do Rio Negro,-0.41,-65.02,88.74,64,85,2.66,BR,2020-02-23 15:38:41,light rain,0.75,0.0
110,Tsabong,-26.02,22.4,91.33,20,71,8.12,BW,2020-02-23 15:38:41,broken clouds,0.0,0.0
111,Irbil,36.19,44.01,62.6,55,20,11.41,IQ,2020-02-23 15:38:42,few clouds,0.0,0.0
112,Kudahuvadhoo,2.67,72.89,83.53,81,100,17.07,MV,2020-02-23 15:38:42,light rain,0.5,0.0
113,Pyaozerskiy,65.83,31.17,32.9,97,100,11.36,RU,2020-02-23 15:38:43,overcast clouds,0.0,0.0
114,Cody,44.53,-109.06,28.4,53,1,4.7,US,2020-02-23 15:38:44,clear sky,0.0,0.0
115,Bermeo,43.42,-2.72,70.0,76,0,11.41,ES,2020-02-23 15:35:19,clear sky,0.0,0.0
116,Alofi,-19.06,-169.92,78.8,94,100,8.05,NU,2020-02-23 15:38:44,light rain,1.5,0.0
117,Birjand,32.87,59.22,59.0,21,20,18.34,IR,2020-02-23 15:34:25,few clouds,0.0,0.0
118,Jahanabad,25.22,84.98,69.8,100,40,6.08,IN,2020-02-23 15:38:45,mist,0.0,0.0
119,Narsaq,60.92,-46.05,24.8,68,100,4.7,GL,2020-02-23 15:38:45,light snow,0.0,1.13
120,Vestmanna,62.16,-7.17,35.6,80,82,11.41,FO,2020-02-23 15:38:45,light rain,0.0,0.0
121,Amalapuram,16.58,82.02,82.4,65,20,6.93,IN,2020-02-23 15:38:46,haze,0.0,0.0
122,Soligalich,59.08,42.29,30.58,95,100,11.36,RU,2020-02-23 15:38:46,light snow,0.0,1.19
123,Kidodi,-7.6,37.0,79.09,89,100,3.51,TZ,2020-02-23 15:38:46,light rain,0.56,0.0
124,Plettenberg Bay,-34.05,23.37,64.99,69,0,16.06,ZA,2020-02-23 15:38:46,clear sky,0.0,0.0
125,Mackay,-21.15,149.2,77.0,94,90,9.17,AU,2020-02-23 15:38:47,overcast clouds,0.0,0.0
126,Faanui,-16.48,-151.75,82.09,73,100,9.86,PF,2020-02-23 15:38:47,overcast clouds,0.0,0.0
127,Dalvik,65.97,-18.53,24.82,77,51,19.44,IS,2020-02-23 15:38:47,light snow,0.0,0.19
128,Tucuma,-0.18,-50.05,82.74,82,100,6.67,BR,2020-02-23 15:38:47,overcast clouds,0.0,0.0
129,Tasiilaq,65.61,-37.64,10.4,72,100,3.36,GL,2020-02-23 15:38:47,overcast clouds,0.0,0.0
130,Wamba,8.93,8.6,103.37,8,0,4.85,NG,2020-02-23 15:38:48,clear sky,0.0,0.0
131,Puerto Madryn,-42.77,-65.04,86.86,13,0,8.79,AR,2020-02-23 15:38:48,clear sky,0.0,0.0
132,Nador,35.17,-2.93,62.6,77,75,9.17,MA,2020-02-23 15:38:48,broken clouds,0.0,0.0
133,Norman Wells,65.28,-126.83,5.0,84,90,3.36,CA,2020-02-23 15:37:15,light snow,0.0,0.0
134,Padang,-0.95,100.35,71.51,82,0,5.95,ID,2020-02-23 15:38:49,clear sky,0.0,0.0
135,Poum,-20.23,164.02,81.05,76,39,22.15,NC,2020-02-23 15:38:49,light rain,0.44,0.0
136,Mecca,21.43,39.83,77.54,58,100,13.87,SA,2020-02-23 15:35:15,overcast clouds,0.0,0.0
137,North Battleford,52.78,-108.28,12.2,72,1,4.7,CA,2020-02-23 15:38:49,clear sky,0.0,0.0
138,Nuuk,64.18,-51.72,19.4,62,100,2.24,GL,2020-02-23 15:38:49,overcast clouds,0.0,0.0
139,Hobart,-42.88,147.33,57.0,87,99,3.36,AU,2020-02-23 15:38:50,overcast clouds,0.0,0.0
140,Castro,-24.79,-50.01,70.68,55,100,5.75,BR,2020-02-23 15:38:50,overcast clouds,0.0,0.0
141,Vrangel,42.73,133.08,33.12,65,41,2.46,RU,2020-02-23 15:38:50,scattered clouds,0.0,0.0
142,Pisco,-13.7,-76.22,78.01,30,20,6.93,PE,2020-02-23 15:35:08,few clouds,0.0,0.0
143,San Pedro,14.35,121.02,79.0,74,20,3.36,PH,2020-02-23 15:38:51,few clouds,0.0,0.0
144,Atyrau,47.12,51.88,37.4,74,40,6.71,KZ,2020-02-23 15:34:07,scattered clouds,0.0,0.0
145,Sassandra,4.95,-6.08,88.25,65,86,9.57,CI,2020-02-23 15:38:51,light rain,1.19,0.0
146,Berlevag,70.86,29.09,23.0,85,75,4.7,NO,2020-02-23 15:38:51,broken clouds,0.0,0.0
147,Larnaca,34.92,33.63,60.8,67,20,11.41,CY,2020-02-23 15:38:52,few clouds,0.0,0.0
148,Phan Thiet,10.93,108.1,66.63,75,0,3.89,VN,2020-02-23 15:38:52,clear sky,0.0,0.0
149,Port Elizabeth,-33.92,25.57,68.0,60,40,10.29,ZA,2020-02-23 15:38:52,scattered clouds,0.0,0.0
150,Novyy Yarychiv,49.9,24.31,39.2,93,75,2.24,UA,2020-02-23 15:38:53,light intensity shower rain,0.0,0.0
151,Hamilton,39.18,-84.53,42.01,69,90,4.7,US,2020-02-23 15:35:30,overcast clouds,0.0,0.0
152,Cabo San Lucas,22.89,-109.91,72.0,56,40,6.51,MX,2020-02-23 15:38:53,scattered clouds,0.0,0.0
