City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Avera,US,2020-02-22 18:49:35,33.19,-82.53,54.0,27,1,4.7
107,Kodiak,US,2020-02-22 18:49:50,57.79,-152.41,12.2,66,20,4.7
108,Bambari,CF,2020-02-22 18:56:58,5.77,20.68,88.11,20,14,2.93
109,Vila Velha,BR,2020-02-22 18:50:02,-20.33,-40.29,81.0,83,40,12.75
110,Port Elizabeth,ZA,2020-02-22 18:45:04,-33.92,25.57,66.2,93,75,12.75
111,Torbay,CA,2020-02-22 18:49:51,47.67,-52.73,28.0,67,75,20.8
112,Lata,PT,2020-02-22 18:47:25,40.16,-8.33,63.0,67,16,4.7
113,Cherskiy,RU,2020-02-22 18:51:08,68.75,161.3,-19.89,98,99,4.72
114,Bonavista,CA,2020-02-22 18:51:15,48.65,-53.11,26.01,70,9,11.99
115,Yaan,NG,2020-02-22 18:52:35,7.38,8.57,93.45,12,0,3.29
116,Kangaatsiaq,GL,2020-02-22 18:50:59,68.31,-53.46,5.99,81,100,12.39
117,Alofi,NU,2020-02-22 18:46:30,-19.06,-169.92,80.02,89,100,11.12
118,Ribeira Grande,PT,2020-02-22 18:50:16,38.52,-28.7,59.0,72,75,8.05
119,Hobyo,SO,2020-02-22 18:49:39,5.35,48.53,77.29,77,4,16.84
120,Ayr,GB,2020-02-22 18:53:30,55.46,-4.63,39.2,80,75,31.09
121,Camacha,PT,2020-02-22 18:57:00,33.08,-16.33,66.2,82,20,25.28
122,Dikson,RU,2020-02-22 18:49:32,73.51,80.55,14.67,93,100,25.32
123,Clyde River,CA,2020-02-22 18:46:57,70.47,-68.59,-20.2,75,1,3.36
124,Rosarito,MX,2020-02-22 18:57:01,32.33,-117.03,60.01,93,75,4.7
125,Yongan,CN,2020-02-22 18:57:01,39.7,113.69,23.5,25,1,4.14
126,Mehamn,NO,2020-02-22 18:49:26,71.04,27.85,30.25,80,51,20.96
127,Sabha,LY,2020-02-22 18:47:10,27.04,14.43,59.81,36,0,9.04
128,Moa,CU,2020-02-22 18:57:02,20.66,-74.94,82.8,46,19,9.53
129,Tokur,RU,2020-02-22 18:53:29,53.13,132.9,-11.69,99,82,1.21
130,Barrow,US,2020-02-22 18:49:35,71.29,-156.79,-11.2,76,90,5.82
131,Pevek,RU,2020-02-22 18:49:26,69.7,170.31,-12.41,98,100,10.11
132,Kabompo,ZM,2020-02-22 18:57:02,-13.59,24.2,71.58,87,100,2.55
133,Husavik,IS,2020-02-22 18:50:10,66.04,-17.34,24.78,79,100,3.71
134,Te Anau,NZ,2020-02-22 18:50:12,-45.42,167.72,47.66,74,32,3.8
135,Mount Gambier,AU,2020-02-22 18:46:35,-37.83,140.77,50.0,93,0,2.24
136,Mirador,BR,2020-02-22 18:57:03,-6.37,-44.36,86.67,68,83,1.19
137,Hashtrud,IR,2020-02-22 18:54:19,37.48,47.05,30.81,90,23,0.27
138,Roald,NO,2020-02-22 18:46:41,62.58,6.13,39.0,86,90,25.28
139,Matay,EG,2020-02-22 18:57:04,28.42,30.78,55.4,49,0,9.33
140,Luba,GQ,2020-02-22 18:57:04,3.46,8.55,80.96,85,62,9.08
141,Ixtapa,MX,2020-02-22 18:50:08,20.7,-105.2,82.4,65,5,4.7
142,Imbituba,BR,2020-02-22 18:55:30,-28.24,-48.67,77.0,50,20,16.11
143,Yellowknife,CA,2020-02-22 18:49:39,62.46,-114.35,1.99,70,75,8.05
144,Bar Harbor,US,2020-02-22 18:54:17,44.39,-68.2,39.0,40,1,6.93
145,Yabrud,SY,2020-02-22 18:50:18,33.97,36.66,44.6,87,20,11.41
146,Dwarka,IN,2020-02-22 18:57:05,22.24,68.97,76.48,54,0,13.67
147,Tiznit,MA,2020-02-22 18:57:05,29.58,-9.5,69.91,15,0,18.92
148,Namatanai,PG,2020-02-22 18:49:33,-3.67,152.43,83.48,75,24,4.14
149,Champerico,GT,2020-02-22 18:50:21,14.3,-91.92,91.4,41,20,6.93
150,Isoka,ZM,2020-02-22 18:57:06,-10.16,32.63,69.1,90,100,2.13
