City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
117,Birjand,IR,59.0,few clouds,32.87,59.22,ITTIC Birjand Tourist Hotel
118,Jahanabad,IN,69.8,mist,25.22,84.98,TENI BIGHA
120,Vestmanna,FO,35.6,light rain,62.16,-7.17,Budget Guesthouse Borgustova
122,Soligalich,RU,30.58,light snow,59.08,42.29,Kurort Im. A.p. Borodina
124,Plettenberg Bay,ZA,64.99,clear sky,-34.05,23.37,Thanda Vista B&B
132,Nador,MA,62.6,broken clouds,35.17,-2.93,Hôtel La Giralda
134,Padang,ID,71.51,clear sky,-0.95,100.35,Mercure Padang
139,Hobart,AU,57.0,overcast clouds,-42.88,147.33,St Ives Apartments
140,Castro,BR,70.68,overcast clouds,-24.79,-50.01,CHACARA BAILLY
141,Vrangel,RU,33.12,scattered clouds,42.73,133.08,"Отель ""БАЛИ"""
144,Atyrau,KZ,37.4,scattered clouds,47.12,51.88,River Palace Hotel
147,Larnaca,CY,60.8,few clouds,34.92,33.63,Flamingo Beach Hotel
148,Phan Thiet,VN,66.63,clear sky,10.93,108.1,Hotel Saigon-PT
149,Port Elizabeth,ZA,68.0,scattered clouds,-33.92,25.57,39 On Nile Guest House
150,Novyy Yarychiv,UA,39.2,light intensity shower rain,49.9,24.31,Cottage Recreation Complex
151,Hamilton,US,42.01,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
152,Cabo San Lucas,MX,72.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
153,Constitucion,CL,63.3,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
156,Ornskoldsvik,SE,39.2,broken clouds,63.29,18.72,First Hotel Statt
159,Erenhot,CN,25.88,few clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
165,Williams Lake,CA,26.6,light shower snow,52.14,-122.14,Stampeder Motel
169,Katsuura,JP,46.4,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
171,Charters Towers,AU,73.92,light rain,-20.1,146.27,Cattleman's Rest Motor Inn
172,Kaeo,NZ,57.99,clear sky,-35.1,173.78,Bushido Lodge
173,Sur,OM,72.01,clear sky,22.57,59.53,Sur Plaza Hotel
174,Torbay,CA,37.99,few clouds,47.67,-52.73,Gallows Cove
179,Saint-Augustin,CA,30.18,overcast clouds,51.23,-58.65,
180,Santana Do Livramento,BR,72.37,clear sky,-30.89,-55.53,Hotel Emirates
184,Oyama,JP,48.0,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
187,Samur,RU,44.53,scattered clouds,41.83,48.49,Samur
191,Ketchikan,US,39.2,overcast clouds,55.34,-131.65,Snows Cove Lodge
192,Esperance,AU,66.2,overcast clouds,-33.87,121.9,Hospitality Esperance
194,Kaitangata,NZ,57.99,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
195,Jinchang,CN,34.0,overcast clouds,38.5,102.17,Mingshihui Jinchang International Hotel
196,Jadu,LY,60.6,clear sky,31.95,12.03,امياس للصرافة
197,Sawtell,AU,66.99,overcast clouds,-30.38,153.1,Boambee Waters Caravan Park
200,Russell,US,51.01,clear sky,32.35,-85.2,Macs
206,Avesta,SE,44.6,clear sky,60.15,16.17,Avesta Stadshotell AB
207,Lompoc,US,51.8,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
210,Lingao,CN,68.41,clear sky,19.91,109.69,Lingao Ditai Inn
211,Hyeres,FR,70.0,clear sky,43.12,6.12,Hotel ibis budget Hyères Centre Ville
212,Jumla,NP,32.54,light snow,29.27,82.18,Hotel Sundar Rara Karnali
216,Saint George,US,42.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn Hotel & Conference Center
217,Dingle,PH,73.2,light rain,11.0,122.67,Camp Pasica
219,Sinjar,IQ,55.06,clear sky,36.32,41.88,زوماني فون 1
220,Codrington,AU,61.45,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
221,Talagang,PK,62.24,clear sky,32.93,72.42,Al-mahran Cold Bar
226,Hokitika,NZ,57.58,clear sky,-42.72,170.97,Beachfront Hotel Hokitika
227,Taltal,CL,66.07,clear sky,-25.4,-70.48,Residencial Karime
231,Nova Borova,UA,41.43,overcast clouds,50.69,28.63,
233,Yar-Sale,RU,29.46,overcast clouds,66.83,70.83,Yalemd
234,Kahului,US,66.2,few clouds,20.89,-156.47,Maui Seaside Hotel
235,Bandar,ID,74.97,few clouds,2.05,99.75,
238,Yatou,CN,42.35,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
239,Kilis,TR,48.2,broken clouds,36.72,37.12,Kilis Merkez Ogretmenevi
243,Rio Gallegos,AR,59.0,broken clouds,-51.62,-69.22,Hotel Santa Cruz
244,Khash,IR,61.25,clear sky,28.22,61.22,حسینیه صاحب الزمان
246,Aswan,EG,73.4,overcast clouds,24.09,32.91,Nuba Nile
248,Carquefou,FR,55.0,overcast clouds,47.3,-1.49,Best Western Plus Hôtel de la Régate
250,Kyabram,AU,73.0,clear sky,-36.32,145.05,Kyabram Motor Inn
251,Cidreira,BR,70.16,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
252,Blagoyevo,RU,31.24,light snow,63.37,47.92,
253,Chuy,UY,72.36,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
257,Ribeira Grande,PT,62.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
258,Krasnoarmeysk,RU,33.01,light snow,51.02,45.7,Gostinitsa Komfort
